npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
69971209,Tahfidzul Qur`an Masjid Tua Bungku,Jl. Abd. Rabbie ,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,Pondok Pesantren,SWASTA,-2.5439,121.9716
40210208,MTSN MOROWALI,JL. TUNA NO.10 KELURAHAN MATANO,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,MTs,NEGERI,-2.5428,121.9681
69988876,SD NEGERI 18 BUNGKU,KELUARAHAN BUNGI,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5379,121.9633
213729  ,Sekolah Tinggi Agama Islam Morowali,,,Kab. Morowali Utara,Prov. Sulawesi Tengah,Sekolah Tinggi,Aktif,-2.5371142,121.9638956
60728858,MIS DDI BUNGKU,Lorong TPI Bungku,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.5357,121.9641
40206540,SD NEGERI 14 BUNGKU,Kab. Morowali,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5138,121.8575
69937968,SLB NEGERI KTM MOROWALI,KTM MOROWALI DESA BAHOMOHONI,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SLB,NEGERI,-2.5232617,121.8828115
40202539,SD NEGERI 10 BUNGKU,Jln. Trans Sulawesi,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5297,121.9597
40202781,SD NEGERI 06 BUNGKU,Bahoruru,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5122,121.9516
60728242,MAS ISTIMBATUL HIKMAH,DESA EMEA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,MA,SWASTA,-2.486294,121.685293
60724740,SMP NEGERI 4 BUNGKU,Jln. Beringin No.1 ,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.4978,121.8415
P9962956,SANGGAR KEGIATAN BELAJAR MOROWALI,Kompleks Perkantoran Bumi Fonuasingko Bungku,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SKB,NEGERI,-2.4986,121.8899
40204519,SMP NEGERI 3 BUNGKU,Desa IPI,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.5055,121.9456
40209861,MAN MOROWALI,JLN.TRANS SULAWESI DESA IPI,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,MA,NEGERI,-2.5053,121.9467
70011651,SD NEGERI 19 BUNGKU,JLN TANI DESA BENTE,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.4954,121.9401
40202783,SD NEGERI 08 BUNGKU,Jln. Trans Sulawesi,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.4943,121.9408
69775312,SMAN 2 BUNGKU,BENTE,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SMA,NEGERI,-2.4844,121.929
69988766,SMKN Pertambangan Bungku,KTM Fonuasingko,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SMK,NEGERI,-2.4806,121.9259
60728241,MAS DARUN NAJAH,JL. PAHLAWAN,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,MA,SWASTA,-2.45148,121.647578
40204581,SD NEGERI 13 BUNGKU,Desa Bahomoleo,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.453,121.886
60723450,MIS AL-IKHLAS BAHOMOHONI,Jln Trans Sulawesi Bahomohoni,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.4648,121.9255
40202601,SMP NEGERI 2 BUNGKU,Jln. Trans Sulawesi No. 080 ,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.4656,121.9266
40202786,SD NEGERI 04 BUNGKU,Bahomoleo,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.4565,121.9157
60729539,MIS NURUL UMMAH FOLILI,DESA TOPOGARO,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.4388,121.7521
