npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40202762,SD NEGERI LEMBOBELALA,Desa Lembobelala,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,NEGERI,-2.2161,121.2332
40204558,SMP NEGERI 3 LEMBO RAYA,Desa Lembobelala,Kec. Lembo Raya,Kab. Morowali Utara,Prov. Sulawesi Tengah,SMP,NEGERI,-2.2163,121.2341
40202733,SD GKST SEA,Desa Sea,Kec. Mamosalato,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,SWASTA,-2.2099,121.2916
40204934,TK Negeri 1 Wita Ponda,LAANTULA JAYA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,TK,NEGERI,-2.208703,121.5325833
40204521,SMP NEGERI 2 WITA PONDA,Jl. Trans Sulawesi No. 1 Ungkaya,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.212,121.559
40202618,SD NEGERI UNGKAYA,Desa Ungkaya,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2119,121.5803
40202813,SD NEGERI BUKIT HARAPAN,Jl Pendidikan,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.1983,121.5425
69775316,SMKN 1 WITA PONDA,Kecamatan Wita Ponda,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SMK,NEGERI,-2.1975,121.5415
40202800,SD NEGERI EMEA,Desa Emea,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2134,121.5992
40205019,TK NEGERI 2 WITA PONDA,LAANTULA JAYA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,TK,NEGERI,-2.2098873,121.6008811
40202625,SD NEGERI TONDO,Desa Tondo,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2024,121.5764
69920267,TK. INDRA DHANU,DESA LANTULA JAYA,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.2258,121.6229
40202687,SD NEGERI 2 LAANTULA JAYA,Desa Laantula Jaya,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2247,121.627
40202667,SD NEGERI 1 LAANTULA JAYA,Jln. Melati No: 036 Laantula Jaya,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2176,121.623
40202603,SMP NEGERI 1 WITAPONDA,Jl. Trans Sulawesi No. 06,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.2173,121.6245
40202639,SMAN 1 WITAPONDA,JL. PONGTIKU NO. 20,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SMA,NEGERI,-2.2158,121.6377
40202493,SD NEGERI SAMPEANTABA,Desa Sampeantaba,Kec. Witaponda,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2161,121.6384
40202792,SD NEGERI ATANANGA,Desa Atananga,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2082,121.6666
40202729,SD ALKHAERAAT PEBATAE,Pebatae,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,SWASTA,-2.2212,121.6777
40204545,SD NEGERI UMBELE,Umbele,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2063,121.6662
69922455,TK NEGERI 4 BUMI RAYA,DESA SAMARENDA,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,TK,NEGERI,-2.2233,121.6813
40202490,SD NEGERI SAMARENDA,Jln. Trans Sulawesi,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2179,121.7125
40202581,SMP NEGERI 1 BUMI RAYA,Jln. Trans Sulawesi Bahonsuai Km 01,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.2149,121.723
40204573,SD NEGERI 2 BAHONSUAI,Jln. Trans Sulawesi,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2179,121.726
69922444,TK Negeri 1 Bumi Raya,DESA BAHONSUAI,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,TK,NEGERI,-2.2171,121.7259
40202641,SMAN 1 BUMI RAYA,JL. Tunas Bangsa No. 9 Desa Bahonsuai Kec. Bumi Raya,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SMA,NEGERI,-2.214,121.7255
40202779,SD NEGERI 1 BAHONSUAI,Jln. Trans Sulawesi,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2222,121.7381
69922429,KB. AL HIKMAH,DESA PARILANGKE,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,KB,SWASTA,-2.2096,121.7364
60723406,MIS AL IKHLAS MAYOA,JL. TRANS SULAWESI MATIROWASELLE,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,MI,SWASTA,-2.172,120.7376
40201423,SD NEGERI 2 PENDOLO,Jalan Jendral Sudirman no 29,Kec. Pamona Selatan,Kab. Poso,Prov. Sulawesi Tengah,SD,NEGERI,-2.1684,120.7496
