npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40202128,SD NEGERI 17 MOMUNU,Dusun Permata Putih,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1282,121.3536
40201978,SD NEGERI 3 MOMUNU,Jln. Pendidikan,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.125,121.4143
40202122,SD NEGERI 2 MOMUNU,Dusun Lamolan,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1358,121.412
40202093,SD NEGERI 1 MOMUNU,Jl. Pendidikan,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1436,121.4124
163032  ,STISIPOL Mujahidin,Jl Tirtarya Kelurahan Kulango,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,Sekolah Tinggi,SWASTA,1.1477201,121.4055107
40202013,SMK Negeri 2 Biau,JL. ANOA NO. 32,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SMK,NEGERI,1.1488,121.4055
40206683,TK NEG PEMBINA KEC BIAU,JLN PADAT KARYA,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,TK,NEGERI,1.149,121.4082
40202050,SD NEGERI 9 BIAU,BUOYONG,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1394,121.4353
69787768,SMP NEGERI 5 BIAU,"Jln.Gagak Lingk. Buoyong Kel.Buol,Kec.Biau,Kab.Buol",Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SMP,NEGERI,1.1396,121.4359
40210216,MTSS AL MISBAH,JL. DR. WAHIDIN NO.07,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,MTs,SWASTA,1.13206,121.450316
40202094,SD NEGERI 1 BIAU,Jln. U. Hanggi,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1504396,121.412851
40202068,SD NEGERI 12 BIAU,Jl.merpati 01,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1339,121.455
40202137,SD NEGERI 13 BIAU,Jl. Trans Sulawesi,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1347,121.4559
60723454,MIS USWATUN HASANAH LEOK 1,JL. HI. M. SUHONG NO. 26 KEL. LEOK I,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,MI,SWASTA,1.15388,121.411859
69988478,SMA Plus Farid as-Sholeh NW Negeri Lama,Negeri Lama,Kec. Bokat,Kab. Buol,Prov. Sulawesi Tengah,SMA,SWASTA,1.125533,121.465144
